원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께,경사 스트레치 강도,위사 스트레치 강도,바이어스 스트레치 강도
WOVEN,Outer,"COTTON 59%, NYLON 4%",,,,"PD, WR, CT(PS), W(B)",M-C3040PB,14.394,0.29,"[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.41'], ['10', '1.3'], ['15', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.134'], ['10', '0.269'], ['15', '0.447'], ['20', '0.696'], ['30', '1.455'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"COTTON 52%, POLYESTER 22%, WOOL 18%, NYLON 5%, RAYON 3%",,,,,DSS-16,23.333,0.72,"[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.081'], ['10', '0.253'], ['15', '0.61'], ['20', '1.62'], ['22', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.013'], ['10', '0.023'], ['15', '0.034'], ['20', '0.047'], ['30', '0.1'], ['40', '0.191'], ['50', '0.41'], ['0', '0']]"
WOVEN,Outer,"COTTON 76%, NYLON 21%, POLYURETHANE 3%",,,,,CREAMS,9.293,0.23,"[['5', '0.07'], ['10', '0.138'], ['15', '0.193'], ['20', '0.252'], ['30', '0.341'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.573'], ['10', '1.485'], ['12.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.053'], ['10', '0.09'], ['15', '0.126'], ['20', '0.174'], ['30', '0.281'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 55%, SILK 45%",,,,,F/W 4097A,8.333,0.22,"[['3.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['4.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.1'], ['10', '0.139'], ['15', '0.23'], ['20', '0.38'], ['30', '0.86'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 95%, POLYURETHANE 5%",,,,"PD, WR",SD84373(SD),31.01,0.86,"[['5', '0.083'], ['10', '0.192'], ['15', '0.323'], ['20', '0.483'], ['30', '0.922'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.074'], ['10', '0.155'], ['15', '0.246'], ['20', '0.353'], ['30', '0.572'], ['62', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.033'], ['10', '0.085'], ['15', '0.136'], ['20', '0.202'], ['30', '0.346'], ['95', '2.054'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"NYLON 86%, POLYURETHANE 14%",,,,"PD, WR",ST12363B,25.152,0.55,"[['5', '0.06'], ['10', '0.113'], ['15', '0.16'], ['20', '0.2'], ['30', '0.3'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.108'], ['10', '0.306'], ['15', '0.44'], ['20', '0.56'], ['30', '0.93'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.056'], ['10', '0.1'], ['15', '0.155'], ['20', '0.22'], ['30', '0.31'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"F: POLYURETHANE 100%, B: HDPE 100%",,,,,TYVEK-UM29,8.586,0.26,"[['5', '0.48'], ['10', '1.36'], ['15', '1.9'], ['18', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.6'], ['7.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.83'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,POLYESTER 100%,P/P75D(1450T/M),,PLAIN,,BPT-427HZ,12.879,0.24,"[['4', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.112'], ['10', '0.24'], ['15', '0.37'], ['20', '0.6'], ['30', '1.51'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 83%, NYLON 17%",NP/P75D,,PLAIN,MEMORY,BPT-846,12.727,0.23,"[['5', '1.83'], ['6', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.05'], ['9', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.25'], ['10', '0.6'], ['15', '1.1'], ['20', '1.7'], ['25', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,POLYESTER 100%,,,PLAIN,,BBS-033,15.808,0.26,"[['5', '1.05'], ['6.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['2', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.02'], ['10', '0.38'], ['15', '1.1'], ['20', '1.81'], ['22', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
