원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Top,"POLYESTER 62%, RAYON 34%, POLYURETHANE 4%",,,,"SOLID DISPERSE DYE, SETTING + TENTERING ",DP-J52015-SD30,18.788,0.56
KNIT,Top,"ACRYL 58%, RAYON 38%, POLYURETHANE 4%",,,,"SOLID REACTIVE DYE, SETTING + TENTERING + COMPACT",DN-J51192-SR32,15.051,0.61
KNIT,Top,"RAYON 55%, POLYESTER 45%",,,,"SOLID DISPERSE DYE, TENTERING",DN-J03841-SD01,14.747,0.49
KNIT,Outer,"POLYESTER 53%, COTTON 38%, RAYON 6%, POLYURETHANE 3%",,,,"SOLID DISPERSE DYE, SETTING + TENTERING ",DN-T50122-SD30,22.98,0.99
KNIT,Top,"RAYON 58%, POLYURETHANE 42%",,,,"SOLID DISPERSE DYE, TENTERING",DP-J02010-SD01,16.061,0.46
KNIT,Outer,"COTTON 58%, POLYESTER 38%, POLYURETHANE 4%",,,,"SOLID DISPERSE DYE, SETTING + TENTERING ",DN-T50020-SD30,19.697,0.96
KNIT,Top,"COTTON 64%, POLYESTER 36%",,,RIB,,J18-0933,16.869,0.84
KNIT,Top,"RAYON 55%, POLYESTER 45%",,,,"SOLID REACTIVE DYE, TENTERING",DN-J03590-SR01,17.172,0.71
KNIT,Top,"POLYESTER 40%, LINEN 36%, VISCOSE RAYON 24%",,,JERSEY,,JY-C-3382-7L,17.525,0.55
KNIT,Top,"POLYESTER 73%, RAYON 23%, POLYURETHANE 4%",,,,,SST-S1981,23.687,0.64
KNIT,Active,"RAYON 58%, POLYESTER 42%",,,,"SOLID REACTIVE DYE, TENTERING",DN-J03570-SR01,17.273,0.5
KNIT,Top,"VISCOSE RAYON 55%, POLYESTER 45%",,,,,PH-2089,13.889,0.66
KNIT,Top,COTTON 100%,,,,,SST-S1202,14.545,0.55
KNIT,Top,COTTON 100%,,,,,TEX-6060,23.384,0.81
KNIT,Top,,CM34'S,,JERSEY,,JY-C-1619,12.626,0.49
KNIT,Top,"RAYON 76%, POLYESTER 12%, NYLON 12%",,,,"SOLID DISPERSE DYE, TENTERING + COMPACT ",DN-J01150-SD04,16.313,0.49
KNIT,Top,"RAYON 69%, POLYESTER 31%",,,,"SOLID DISPERSE DYE, TENTERING + COMPACT ",DN-J03488-SD04,12.424,0.49
KNIT,Top,"COTTON 60%, MODAL 40%",,,,,SST-S652-2,13.838,0.51
KNIT,Top,"COTTON 50%, POLYESTER 40%, LINEN 10%",,,,"SOLID DISPERSE DYE, TENTERING",DP-J02011-SD01,16.768,0.51
KNIT,Top,"VISCOSE RAYON 70%, CLY 30%",,,,,PH-1030,17.02,0.42
KNIT,Top,"MODAL 57%, POLYESTER 43%",,,,,J18-0915,16.919,0.54
KNIT,Top,"VISCOSE RAYON 53%, CLY 23%, COTTON 19%, POLYURETHANE 5%",,,,,ST-697,16.919,0.48
KNIT,Top,VISCOSE 100%,,,,,RA-177149CWMG-1,18.636,0.45
KNIT,Top,"MODAL 95%, POLYURETHANE 5%",MO40'S+SP30D,,2*1 RIB,,JY-O-SD869,20.707,0.7
KNIT,Top,"COTTON 70%, POLYESTER 26%, POLYURETHANE 4%",,,,,CP-177087P-3,21.768,0.75
KNIT,Top,"COTTON 60%, POLYESTER 40%",,,,"SOLID BOTHSIDE DYE, TENTERING",DN-J03805-SB01,15.354,0.57
KNIT,Top,,,,TERRY,,JY-O-R3073,23.182,0.73
KNIT,Top,"POLYESTER 77%, RAYON 19%, POLYURETHANE 4%",,,,,SLUB TEXTURED JERSEY,24.343,0.85
KNIT,Outer,"COTTON 96%, POLYURETHANE 4%",,,,"SOLID REACTIVE DYE, SETTING + TENTERING",DN-T50121-SR30,27.929,1.25
KNIT,Active,"RAYON 65%, NYLON 30%, POLYURETHANE 5%",,,,,SST-S3494,26.566,0.74
KNIT,Top,"MODAL 95%, POLYURETHANE 5%",P75D+SP20D,,SINGLE,,JY-O-KW216,14.091,0.5
KNIT,Top,"MODAL 65%, POLYURETHANE 35%",MO30'S+P75D,,,SAND WASH FINISH,BPTS-PN17091,16.212,0.67
KNIT,Top,"MODAL 64%, POLYURETHANE 36%",MO30'S+P75D,,,SAND WASH FINISH,BPTS-8279,18.889,0.65
KNIT,Top,"POLYESTER 46%, LINEN 39%, RAYON 15%",,,PIQUE,,JY-C-3382-4,17.323,0.61
KNIT,Top,"COTTON 57%, POLYESTER 38%, 5%",,,,,TEX-5809,24.495,0.79
KNIT,Top,"RAYON 66%, COTTON 29%, POLYURETHANE 5%",,,,"SOLID REACTIVE DYE, SETTING + TENTERING ",DN-J51182-SR30,23.838,0.91
KNIT,Top,"COTTON 56%, POLYESTER 36%, RAYON 8%",,,,"SOLID DISPERSE DYE, SPRAY WASHING",DN-J03803-SD02,20,0.71
KNIT,Top,"MODAL 68%, POLYESTER 29%, POLYURETHANE 3%",,,,,TEX-7086,28.586,0.86
KNIT,Top,"POLYESTER 67%, RAYON 33%",,,,"SOLID REACTIVE DYE, TENTERING",DN-J03815-SR01,25.101,0.94
WOVEN,Top,POLYESTER 100%,,,,,SI-6532EMBO,5.96,0.2
WOVEN,Active,POLYESTER 100%,,,MESH,P/D ,GTMS-069,3.788,0.32
WOVEN,Top,POLYESTER 100%,,,,,68361,12.071,0.39
WOVEN,Top,POLYESTER 100%,,,,심색가공,68SHP,12.727,0.4
WOVEN,Top,POLYESTER 100%,,,3/2 TWILL,,68ND,11.667,0.38
WOVEN,Top,POLYESTER 100%,,,DOBBY,PD,6899,14.444,0.42
WOVEN,Top,POLYESTER 100%,,,,,SKD-044,18.838,0.44
WOVEN,Top,POLYESTER 100%,,,,,68364,12.475,0.41
WOVEN,Top,POLYESTER 100%,,,,심색가공,68AMEERA,15.051,0.41
WOVEN,Top,POLYESTER 100%,,,,,68LTN,16.818,0.49
WOVEN,Top,POLYESTER 100%,,,,,68ELNAS RENEWAL,13.485,0.43
WOVEN,Outer,"POLYESTER 55%, NYLON 45%",,,,,THR-0021Z,10.101,0.55
WOVEN,Top,POLYESTER 100%,,,,,THR-0003S,12.525,0.38
WOVEN,Top,"ACETATE 70%, VISCOSE RAYON 30%",,,,,D0584,18.333,0.47
WOVEN,Top,"POLYESTER 96%, POLYURETHANE 4%",,,,,SPRB5511,19.545,0.53
WOVEN,Outer,"ACETATE 76%, NYLON 21%, POLYURETHANE 3%",,,,,R0997,19.091,0.29
WOVEN,Outer,SILK 100%,,,,,수직실크,9.697,0.27
KNIT,Top,"NYLON 76%, ME 8%, POLYURETHANE 8%",,,,SOLID,YHC328,16.566,0.94
KNIT,Top,POLYESTER 100%,,,,,CP-150A,16.515,0.73
KNIT,Top,"POLYESTER 95%, POLYURETHANE 5%",,,,,LUC-4,17.424,0.56
KNIT,Top,"NYLON 87%, ME 8%, POLYURETHANE 5%",,,,,RAINBOW,17.828,0.77
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,SINGLE,,SFT-KMY-044P-018,20.606,0.48
KNIT,Top,"POLYESTER 93%, POLYURETHANE 7%",,,,KNIT PD W/MYSIQUE FOIL,SJ-96667 TURQ,18.687,0.44
KNIT,Top,,,,,,SJ-107892,20.404,0.48
KNIT,Active,"POLYESTER 94%, POLYURETHANE 6%",,,,CIRCULAR KNIT PD WET FINISHED,JERS53(SJ-98118),16.212,0.37
KNIT,Top,POLYESTER 100%,,,,,D-8100,14.596,0.59
KNIT,Top,POLYESTER 100%,,,,,LUC-2,17.828,0.57
KNIT,Top,"POLYESTER 99%,  POLYCARBONATE 1%",,,,,D-6600,16.566,0.65
KNIT,Top,POLYESTER 100%,,,,,S-304,19.04,0.65
KNIT,Top,"POLYESTER 67%, NYLON 24%, POLYURETHANE 9%",,,,TWO TONE VELVET SCREEN PRINT BURN OUT,H180239,17.374,0.52
WOVEN,Active,,,,,,,6.667,0.23
WOVEN,Active,,,,,,,7.071,0.23
KNIT,Outer,,,,,,,31.667,1
KNIT,Outer,,,,,,,31.667,1
KNIT,Top,,,,,,,29.949,0.9
KNIT,Outer,,,,,,,22.929,0.93
